variant,day,product,pnl
pure_inside_all50,2,PEBBLES_XL,-662
pure_inside_all50,2,PEBBLES_XS,-534
pure_inside_all50,2,ROBOT_DISHES,7619
pure_inside_all50,2,ROBOT_IRONING,14061
pure_inside_all50,2,ROBOT_LAUNDRY,-2135
pure_inside_all50,2,ROBOT_MOPPING,-12261
pure_inside_all50,2,ROBOT_VACUUMING,-3366
pure_inside_all50,2,SLEEP_POD_COTTON,-1166
pure_inside_all50,2,SLEEP_POD_LAMB_WOOL,-10518
pure_inside_all50,2,SLEEP_POD_NYLON,1743
pure_inside_all50,2,SLEEP_POD_POLYESTER,-608
pure_inside_all50,2,SLEEP_POD_SUEDE,14574
pure_inside_all50,2,SNACKPACK_CHOCOLATE,4436
pure_inside_all50,2,SNACKPACK_PISTACHIO,3890
pure_inside_all50,2,SNACKPACK_RASPBERRY,4162
pure_inside_all50,2,SNACKPACK_STRAWBERRY,2158
pure_inside_all50,2,SNACKPACK_VANILLA,726
pure_inside_all50,2,TRANSLATOR_ASTRO_BLACK,394
pure_inside_all50,2,TRANSLATOR_ECLIPSE_CHARCOAL,11333
pure_inside_all50,2,TRANSLATOR_GRAPHITE_MIST,-4738
pure_inside_all50,2,TRANSLATOR_SPACE_GRAY,9618
pure_inside_all50,2,TRANSLATOR_VOID_BLUE,4214
pure_inside_all50,2,UV_VISOR_AMBER,8148
pure_inside_all50,2,UV_VISOR_MAGENTA,3256
pure_inside_all50,2,UV_VISOR_ORANGE,3877
pure_inside_all50,2,UV_VISOR_RED,1233
pure_inside_all50,2,UV_VISOR_YELLOW,-1572
pure_inside_all50,3,GALAXY_SOUNDS_BLACK_HOLES,6117
pure_inside_all50,3,GALAXY_SOUNDS_DARK_MATTER,-233
pure_inside_all50,3,GALAXY_SOUNDS_PLANETARY_RINGS,1824
pure_inside_all50,3,GALAXY_SOUNDS_SOLAR_FLAMES,3638
pure_inside_all50,3,GALAXY_SOUNDS_SOLAR_WINDS,8446
pure_inside_all50,3,MICROCHIP_CIRCLE,-1208
pure_inside_all50,3,MICROCHIP_OVAL,5001
pure_inside_all50,3,MICROCHIP_RECTANGLE,5495
pure_inside_all50,3,MICROCHIP_SQUARE,-965
pure_inside_all50,3,MICROCHIP_TRIANGLE,-938
pure_inside_all50,3,OXYGEN_SHAKE_CHOCOLATE,9843
pure_inside_all50,3,OXYGEN_SHAKE_EVENING_BREATH,7291
pure_inside_all50,3,OXYGEN_SHAKE_GARLIC,3578
pure_inside_all50,3,OXYGEN_SHAKE_MINT,-684
pure_inside_all50,3,OXYGEN_SHAKE_MORNING_BREATH,2159
pure_inside_all50,3,PANEL_1X2,-9030
pure_inside_all50,3,PANEL_1X4,4248
pure_inside_all50,3,PANEL_2X2,175
pure_inside_all50,3,PANEL_2X4,10695
pure_inside_all50,3,PANEL_4X4,-3212
pure_inside_all50,3,PEBBLES_L,17538
pure_inside_all50,3,PEBBLES_M,-12063
pure_inside_all50,3,PEBBLES_S,4463
pure_inside_all50,3,PEBBLES_XL,14302
pure_inside_all50,3,PEBBLES_XS,-4388
pure_inside_all50,3,ROBOT_DISHES,10340
pure_inside_all50,3,ROBOT_IRONING,-785
pure_inside_all50,3,ROBOT_LAUNDRY,1990
pure_inside_all50,3,ROBOT_MOPPING,-10171
pure_inside_all50,3,ROBOT_VACUUMING,-383
pure_inside_all50,3,SLEEP_POD_COTTON,50
pure_inside_all50,3,SLEEP_POD_LAMB_WOOL,-8418
pure_inside_all50,3,SLEEP_POD_NYLON,6626
pure_inside_all50,3,SLEEP_POD_POLYESTER,6872
pure_inside_all50,3,SLEEP_POD_SUEDE,5962
pure_inside_all50,3,SNACKPACK_CHOCOLATE,9078
pure_inside_all50,3,SNACKPACK_PISTACHIO,5083
pure_inside_all50,3,SNACKPACK_RASPBERRY,5574
pure_inside_all50,3,SNACKPACK_STRAWBERRY,2119
pure_inside_all50,3,SNACKPACK_VANILLA,-56
pure_inside_all50,3,TRANSLATOR_ASTRO_BLACK,220
pure_inside_all50,3,TRANSLATOR_ECLIPSE_CHARCOAL,-10380
pure_inside_all50,3,TRANSLATOR_GRAPHITE_MIST,-815
pure_inside_all50,3,TRANSLATOR_SPACE_GRAY,-516
pure_inside_all50,3,TRANSLATOR_VOID_BLUE,1820
pure_inside_all50,3,UV_VISOR_AMBER,-612
pure_inside_all50,3,UV_VISOR_MAGENTA,-8904
pure_inside_all50,3,UV_VISOR_ORANGE,1926
pure_inside_all50,3,UV_VISOR_RED,8456
pure_inside_all50,3,UV_VISOR_YELLOW,7962
pure_inside_all50,4,GALAXY_SOUNDS_BLACK_HOLES,15158
pure_inside_all50,4,GALAXY_SOUNDS_DARK_MATTER,5936
pure_inside_all50,4,GALAXY_SOUNDS_PLANETARY_RINGS,-6912
pure_inside_all50,4,GALAXY_SOUNDS_SOLAR_FLAMES,-3079
pure_inside_all50,4,GALAXY_SOUNDS_SOLAR_WINDS,9650
pure_inside_all50,4,MICROCHIP_CIRCLE,11367
pure_inside_all50,4,MICROCHIP_OVAL,1036
pure_inside_all50,4,MICROCHIP_RECTANGLE,-13556
pure_inside_all50,4,MICROCHIP_SQUARE,8195
pure_inside_all50,4,MICROCHIP_TRIANGLE,8191
pure_inside_all50,4,OXYGEN_SHAKE_CHOCOLATE,4864
pure_inside_all50,4,OXYGEN_SHAKE_EVENING_BREATH,11905
pure_inside_all50,4,OXYGEN_SHAKE_GARLIC,8073
pure_inside_all50,4,OXYGEN_SHAKE_MINT,2452
pure_inside_all50,4,OXYGEN_SHAKE_MORNING_BREATH,7874
pure_inside_all50,4,PANEL_1X2,-126
pure_inside_all50,4,PANEL_1X4,9062
pure_inside_all50,4,PANEL_2X2,23
pure_inside_all50,4,PANEL_2X4,6460
pure_inside_all50,4,PANEL_4X4,4646
pure_inside_all50,4,PEBBLES_L,-8300
pure_inside_all50,4,PEBBLES_M,-11542
pure_inside_all50,4,PEBBLES_S,22558
pure_inside_all50,4,PEBBLES_XL,11228
pure_inside_all50,4,PEBBLES_XS,3335
pure_inside_all50,4,ROBOT_DISHES,-2590
pure_inside_all50,4,ROBOT_IRONING,1452
pure_inside_all50,4,ROBOT_LAUNDRY,6332
pure_inside_all50,4,ROBOT_MOPPING,4826
pure_inside_all50,4,ROBOT_VACUUMING,563
pure_inside_all50,4,SLEEP_POD_COTTON,9120
pure_inside_all50,4,SLEEP_POD_LAMB_WOOL,-4984
pure_inside_all50,4,SLEEP_POD_NYLON,4818
pure_inside_all50,4,SLEEP_POD_POLYESTER,4162
pure_inside_all50,4,SLEEP_POD_SUEDE,-6316
pure_inside_all50,4,SNACKPACK_CHOCOLATE,5548
pure_inside_all50,4,SNACKPACK_PISTACHIO,2022
pure_inside_all50,4,SNACKPACK_RASPBERRY,5660
pure_inside_all50,4,SNACKPACK_STRAWBERRY,2944
