group,target,center_mode,threshold,horizon,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.0,200,3,26230.0,3160.0,3,52,0.5769230769230769,504.4230769230769,198.75
SLEEP_POD,SLEEP_POD_POLYESTER,raw,1.5,100,3,25470.0,1660.0,3,194,0.5618556701030928,131.28865979381445,99.94845360824742
ROBOT,ROBOT_IRONING,raw,1.5,500,3,25420.0,1800.0,3,46,0.5869565217391305,552.6086956521739,499.5652173913044
ROBOT,ROBOT_IRONING,raw,1.5,200,3,24120.0,230.0,3,110,0.5818181818181818,219.27272727272728,199.54545454545453
ROBOT,ROBOT_IRONING,raw,2.0,200,3,22580.0,230.0,3,92,0.5869565217391305,245.43478260869566,199.45652173913044
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,2.5,500,3,22300.0,5290.0,3,27,0.6296296296296297,825.925925925926,500.0
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.5,500,3,22230.0,1410.0,3,14,0.7142857142857143,1587.857142857143,484.2142857142857
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,1.5,200,3,22040.0,820.0,3,94,0.5531914893617021,234.46808510638297,198.24468085106383
UV_VISOR,UV_VISOR_MAGENTA,raw,1.5,500,3,21230.0,4830.0,3,36,0.5833333333333334,589.7222222222222,498.44444444444446
ROBOT,ROBOT_IRONING,raw,2.5,500,3,21210.0,2720.0,3,33,0.6363636363636364,642.7272727272727,498.5151515151515
SLEEP_POD,SLEEP_POD_POLYESTER,raw,2.0,100,3,21200.0,2280.0,3,157,0.5987261146496815,135.03184713375796,100.0
ROBOT,ROBOT_IRONING,raw,3.0,500,3,20790.0,1760.0,3,25,0.56,831.6,498.76
ROBOT,ROBOT_IRONING,raw,2.0,500,3,20530.0,1800.0,3,41,0.5365853658536586,500.7317073170732,499.5121951219512
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.5,200,3,19190.0,3400.0,3,28,0.6071428571428571,685.3571428571429,196.07142857142858
ROBOT,ROBOT_IRONING,raw,2.5,200,3,19180.0,550.0,3,80,0.4875,239.75,198.75
MICROCHIP,MICROCHIP_RECTANGLE,raw,1.5,200,3,18590.0,4620.0,3,62,0.5645161290322581,299.83870967741933,195.7741935483871
ROBOT,ROBOT_IRONING,raw,3.0,200,3,17250.0,1060.0,3,58,0.5517241379310345,297.41379310344826,198.98275862068965
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.0,100,3,16510.0,1330.0,3,97,0.5257731958762887,170.20618556701032,99.26804123711341
ROBOT,ROBOT_IRONING,raw,2.5,100,3,16440.0,350.0,3,152,0.5921052631578947,108.15789473684211,99.8157894736842
SLEEP_POD,SLEEP_POD_POLYESTER,raw,3.0,200,3,16120.0,3880.0,3,48,0.5416666666666666,335.8333333333333,200.0
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,2.0,500,3,16050.0,3410.0,3,29,0.5862068965517241,553.448275862069,500.0
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,raw,2.0,500,3,15990.0,1410.0,3,36,0.5277777777777778,444.1666666666667,500.0
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,1.5,500,3,15830.0,1640.0,3,36,0.5833333333333334,439.72222222222223,492.5833333333333
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,1.5,200,3,14870.0,3080.0,3,84,0.5357142857142857,177.02380952380952,198.67857142857142
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,raw,3.0,500,3,14540.0,4160.0,3,23,0.6521739130434783,632.1739130434783,500.0
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.5,100,3,13610.0,900.0,3,53,0.6415094339622641,256.79245283018867,99.81132075471699
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,2.5,200,3,13240.0,2740.0,3,60,0.5833333333333334,220.66666666666666,200.0
ROBOT,ROBOT_IRONING,raw,3.0,100,3,13210.0,1600.0,3,108,0.5462962962962963,122.31481481481481,99.24074074074075
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,raw,2.5,500,3,13180.0,3100.0,3,30,0.6,439.3333333333333,500.0
TRANSLATOR,TRANSLATOR_VOID_BLUE,raw,3.0,500,3,13000.0,2100.0,3,22,0.5909090909090909,590.9090909090909,500.0
SLEEP_POD,SLEEP_POD_POLYESTER,raw,3.0,100,3,12000.0,1890.0,3,91,0.5494505494505495,131.86813186813185,100.0
UV_VISOR,UV_VISOR_MAGENTA,raw,2.5,500,3,11600.0,710.0,3,21,0.7142857142857143,552.3809523809524,488.3809523809524
