group,target,test_day,center_mode,threshold,horizon,pnl,trades,wins,avg_hold,sigma_train
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.5,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,3.0,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,3.0,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,3.0,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,3.0,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,1.5,50,-2270.0,7,2,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,1.5,100,-2280.0,4,1,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,1.5,200,-130.0,3,1,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,1.5,500,2040.0,2,2,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.0,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.0,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.0,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.0,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.5,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.5,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.5,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,2.5,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,3.0,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,3.0,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,3.0,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling500,3.0,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,1.5,50,9760.0,115,52,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,1.5,100,15880.0,61,36,99.8360655737705,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,1.5,200,19560.0,34,23,197.35294117647058,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,1.5,500,17690.0,16,13,476.375,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.0,50,9840.0,84,48,49.654761904761905,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.0,100,11940.0,45,31,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.0,200,12210.0,23,18,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.0,500,16120.0,12,9,463.6666666666667,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.5,50,9500.0,43,25,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.5,100,14290.0,27,16,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.5,200,17770.0,17,14,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,2.5,500,14850.0,10,8,474.2,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,3.0,50,550.0,15,8,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,3.0,100,2980.0,8,5,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,3.0,200,4480.0,5,4,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,raw,3.0,500,9390.0,4,3,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,1.5,50,8170.0,56,29,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,1.5,100,15360.0,32,21,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,1.5,200,14680.0,19,13,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,1.5,500,10550.0,10,9,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.0,50,7870.0,17,13,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.0,100,12030.0,12,11,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.0,200,13670.0,9,7,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.0,500,10460.0,5,5,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.5,50,1550.0,2,1,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.5,100,-50.0,1,0,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.5,200,230.0,1,1,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,2.5,500,3300.0,1,1,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,3.0,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,3.0,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,3.0,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open100,3.0,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,1.5,50,11510.0,45,28,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,1.5,100,12810.0,25,18,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,1.5,200,20420.0,15,13,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,1.5,500,17420.0,9,8,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.0,50,3810.0,11,8,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.0,100,2710.0,6,5,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.0,200,4990.0,5,4,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.0,500,6020.0,3,3,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.5,50,1740.0,4,3,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.5,100,3020.0,3,2,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.5,200,4470.0,2,2,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,2.5,500,2570.0,1,1,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,3.0,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,3.0,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,3.0,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,open500,3.0,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,1.5,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,1.5,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,1.5,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,1.5,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.0,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.0,100,0.0,0,0,0.0,329.87456719626493
