case,kind,product_under_test,day,product,pnl
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PEBBLES_S,23192
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PEBBLES_XL,11862
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PEBBLES_XS,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,ROBOT_DISHES,-2119
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,ROBOT_IRONING,1923
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,ROBOT_LAUNDRY,6804
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,ROBOT_MOPPING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,ROBOT_VACUUMING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SLEEP_POD_COTTON,8535
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SLEEP_POD_LAMB_WOOL,19185
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SLEEP_POD_NYLON,5290
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SLEEP_POD_POLYESTER,7685
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SLEEP_POD_SUEDE,-5844
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SNACKPACK_CHOCOLATE,6019
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SNACKPACK_PISTACHIO,762
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SNACKPACK_RASPBERRY,10055
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SNACKPACK_STRAWBERRY,3414
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,SNACKPACK_VANILLA,7290
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,TRANSLATOR_ASTRO_BLACK,8150
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,TRANSLATOR_ECLIPSE_CHARCOAL,7940
