feature_col,importance,source_product,feature
OXYGEN_SHAKE_MORNING_BREATH__group_mid_rank,12.526019,OXYGEN_SHAKE_MORNING_BREATH,group_mid_rank
OXYGEN_SHAKE_MINT__imbalance1,12.517425,OXYGEN_SHAKE_MINT,imbalance1
PEBBLES_S__spread,12.510365,PEBBLES_S,spread
PEBBLES_M__ret50,12.493844,PEBBLES_M,ret50
PANEL_1X4__spread,12.492293,PANEL_1X4,spread
UV_VISOR_ORANGE__spread,12.491512,UV_VISOR_ORANGE,spread
GALAXY_SOUNDS_SOLAR_FLAMES__spread,12.486373,GALAXY_SOUNDS_SOLAR_FLAMES,spread
GALAXY_SOUNDS_SOLAR_WINDS__mid_centered,12.485426,GALAXY_SOUNDS_SOLAR_WINDS,mid_centered
ROBOT_DISHES__spread,12.476582,ROBOT_DISHES,spread
OXYGEN_SHAKE_GARLIC__group_mid_rank,12.469708,OXYGEN_SHAKE_GARLIC,group_mid_rank
SLEEP_POD_NYLON__group_mid_rank,12.464702,SLEEP_POD_NYLON,group_mid_rank
GALAXY_SOUNDS_PLANETARY_RINGS__micro_minus_mid,12.464555,GALAXY_SOUNDS_PLANETARY_RINGS,micro_minus_mid
UV_VISOR_YELLOW__spread,12.455661,UV_VISOR_YELLOW,spread
UV_VISOR_ORANGE__imbalance3,12.455242,UV_VISOR_ORANGE,imbalance3
GALAXY_SOUNDS_BLACK_HOLES__spread,12.445693,GALAXY_SOUNDS_BLACK_HOLES,spread
PANEL_1X4__imbalance3,12.439249,PANEL_1X4,imbalance3
PEBBLES_S__imbalance1,12.433223,PEBBLES_S,imbalance1
ROBOT_LAUNDRY__group_residual_z,12.426447,ROBOT_LAUNDRY,group_residual_z
PANEL_1X2__imbalance1,12.423493,PANEL_1X2,imbalance1
TRANSLATOR_ASTRO_BLACK__imbalance3,12.413423,TRANSLATOR_ASTRO_BLACK,imbalance3
OXYGEN_SHAKE_MORNING_BREATH__imbalance3,12.40323,OXYGEN_SHAKE_MORNING_BREATH,imbalance3
OXYGEN_SHAKE_EVENING_BREATH__ret50,12.401898,OXYGEN_SHAKE_EVENING_BREATH,ret50
OXYGEN_SHAKE_EVENING_BREATH__mid_centered,12.39946,OXYGEN_SHAKE_EVENING_BREATH,mid_centered
PEBBLES_M__imbalance1,12.388064,PEBBLES_M,imbalance1
TRANSLATOR_GRAPHITE_MIST__ret50,12.387237,TRANSLATOR_GRAPHITE_MIST,ret50
PEBBLES_XL__spread,12.382527,PEBBLES_XL,spread
PEBBLES_M__spread,12.381146,PEBBLES_M,spread
SNACKPACK_PISTACHIO__spread,12.37702,SNACKPACK_PISTACHIO,spread
UV_VISOR_RED__imbalance1,12.375915,UV_VISOR_RED,imbalance1
SNACKPACK_STRAWBERRY__group_mid_rank,12.374648,SNACKPACK_STRAWBERRY,group_mid_rank
PANEL_2X2__group_mid_rank,12.373264,PANEL_2X2,group_mid_rank
SNACKPACK_PISTACHIO__ret50,12.370599,SNACKPACK_PISTACHIO,ret50
TRANSLATOR_GRAPHITE_MIST__spread,12.370115,TRANSLATOR_GRAPHITE_MIST,spread
PANEL_2X4__ret50,12.367144,PANEL_2X4,ret50
OXYGEN_SHAKE_MORNING_BREATH__group_residual_z,12.36318,OXYGEN_SHAKE_MORNING_BREATH,group_residual_z
SLEEP_POD_POLYESTER__group_residual_z,12.348308,SLEEP_POD_POLYESTER,group_residual_z
GALAXY_SOUNDS_DARK_MATTER__group_mid_rank,12.34633,GALAXY_SOUNDS_DARK_MATTER,group_mid_rank
SNACKPACK_CHOCOLATE__imbalance3,12.3414345,SNACKPACK_CHOCOLATE,imbalance3
GALAXY_SOUNDS_SOLAR_WINDS__imbalance3,12.33311,GALAXY_SOUNDS_SOLAR_WINDS,imbalance3
TRANSLATOR_GRAPHITE_MIST__imbalance3,12.321883,TRANSLATOR_GRAPHITE_MIST,imbalance3
UV_VISOR_AMBER__group_residual_z,12.317993,UV_VISOR_AMBER,group_residual_z
TRANSLATOR_VOID_BLUE__imbalance1,12.310205,TRANSLATOR_VOID_BLUE,imbalance1
MICROCHIP_OVAL__spread,12.309967,MICROCHIP_OVAL,spread
UV_VISOR_RED__imbalance3,12.3082905,UV_VISOR_RED,imbalance3
SLEEP_POD_SUEDE__group_residual_z,12.302607,SLEEP_POD_SUEDE,group_residual_z
MICROCHIP_SQUARE__spread,12.301172,MICROCHIP_SQUARE,spread
MICROCHIP_RECTANGLE__group_residual_z,12.273908,MICROCHIP_RECTANGLE,group_residual_z
TRANSLATOR_VOID_BLUE__imbalance3,12.261383,TRANSLATOR_VOID_BLUE,imbalance3
UV_VISOR_AMBER__micro_minus_mid,12.242651,UV_VISOR_AMBER,micro_minus_mid
PEBBLES_XS__imbalance3,12.241081,PEBBLES_XS,imbalance3
