split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN,short,1000,0.25372163344910115,41,136.19512939453125,0.6585365853658537,396.32708740234375,-95.01083374023438,89.68947545493522
d2_to_d3,MICROCHIP_RECTANGLE,MICROCHIP,long,1000,0.4512321230933141,41,151.2926788330078,0.5853658536585366,119.72692108154297,-133.35980224609375,88.56156809737043
d2_to_d3,TRANSLATOR_SPACE_GRAY,TRANSLATOR,long,1000,0.2624437749139857,41,149.9512176513672,0.5853658536585366,-57.76636505126953,66.94584655761719,87.77632252762957
d2_to_d3,UV_VISOR_ORANGE,UV,short,1000,0.11854082429516699,41,107.29268646240234,0.8048780487804879,226.210693359375,-45.464500427246094,86.35752812827506
d2_to_d3,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN,short,500,0.2959740523567507,41,120.9756088256836,0.7073170731707317,218.0741729736328,-58.10348892211914,85.56811355962985
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,short,1000,0.3137804553965277,41,151.80487060546875,0.5609756097560976,71.21379852294922,-51.76654815673828,85.15882985184834
d2_to_d3,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,500,0.24611038717460298,41,99.19512176513672,0.8292682926829268,7.134437561035156,-26.312875747680664,82.25936926864996
d2_to_d3,TRANSLATOR_SPACE_GRAY,TRANSLATOR,short,500,0.21690316155166786,41,115.78048706054688,0.7073170731707317,206.6756134033203,-47.63176727294922,81.89351523794778
d2_to_d3,SLEEP_POD_POLYESTER,SLEEP,long,200,0.08774438229454379,41,115.95121765136719,0.6829268292682927,66.7201919555664,14.285198211669922,79.1861974204459
d2_to_d3,GALAXY_SOUNDS_DARK_MATTER,GALAXY,long,200,0.1381631512669558,41,99.95121765136719,0.7804878048780488,22.83055877685547,-2.1648616790771484,78.01070645960367
d2_to_d3,SLEEP_POD_LAMB_WOOL,SLEEP,short,1000,0.34187077131737703,41,132.36585998535156,0.5853658536585366,116.54794311523438,-68.26233673095703,77.48245462557165
d2_to_d3,TRANSLATOR_VOID_BLUE,TRANSLATOR,short,500,0.294204192341522,41,145.65853881835938,0.5121951219512195,-22.158103942871094,6.199759483337402,74.60559305330602
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,short,100,0.246834849551415,41,108.51219177246094,0.6829268292682927,7.954324245452881,-48.217811584472656,74.10588706411967
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,short,500,0.29940515230773246,41,126.0243911743164,0.5853658536585366,29.174869537353516,-38.659446716308594,73.77037532155106
