split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score
gru_d23_to_d4,UV_VISOR_RED,UV,long,200,-0.13268344623335684,-29.008909225463867,0.4053452115812918,449,1.4664291143417358,-11.758622447738139
gru_d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,long,500,-0.1341133935853387,-26.474388122558594,0.44543429844098,449,-25.48992347717285,-11.7926005000261
gru_d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,long,50,-0.009126654882259003,-36.338531494140625,0.3363028953229399,449,-20.008684158325195,-12.220753353263328
gru_d23_to_d4,ROBOT_MOPPING,ROBOT,short,200,-0.027952028725370004,-35.643653869628906,0.38752783964365256,449,8.38681697845459,-13.812908181103406
gru_d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,long,200,0.018229802774235058,-36.94432067871094,0.37639198218262804,449,23.370336532592773,-13.905546090650663
gru_d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,100,-0.03177498653256386,-36.759464263916016,0.39643652561247217,449,-15.767509460449219,-14.572794296162696
gru_d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,long,500,0.297945992633722,-34.39643478393555,0.44988864142538976,449,-81.53424072265625,-15.474565314821783
gru_d23_to_d4,ROBOT_IRONING,ROBOT,long,500,-0.2509128280923018,-88.47884368896484,0.18930957683741648,449,-6.356419086456299,-16.74989245782185
gru_d23_to_d4,TRANSLATOR_VOID_BLUE,TRANSLATOR,short,1000,-0.014504876392454331,-36.919822692871094,0.4610244988864143,449,-68.51831817626953,-17.020942755956163
gru_d23_to_d4,UV_VISOR_RED,UV,short,500,-0.05959191059592269,-69.16481018066406,0.26280623608017817,449,-54.0761604309082,-18.17694343278031
gru_d23_to_d4,PEBBLES_XS,PEBBLES,long,200,-0.13299585246133805,-82.3162612915039,0.23162583518930957,449,-20.462085723876953,-19.066572771306028
gru_d23_to_d4,UV_VISOR_MAGENTA,UV,short,200,0.041639494183156996,-67.94209289550781,0.28507795100222716,449,-22.240619659423828,-19.368792629454344
gru_d23_to_d4,PEBBLES_S,PEBBLES,long,100,-0.06413443344158931,-50.365257263183594,0.39643652561247217,449,-27.718294143676758,-19.966627600994833
gru_d23_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,short,200,-0.03354328924510705,-50.857460021972656,0.4142538975501114,449,-45.77953338623047,-21.067901033601146
gru_d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,short,200,-0.08630883022198572,-94.06013488769531,0.23162583518930957,449,-11.855027198791504,-21.78675730138154
gru_d23_to_d4,SLEEP_POD_SUEDE,SLEEP,short,200,-0.06958135230373565,-47.84186935424805,0.5367483296213809,449,-7.346286773681641,-25.67904346185697
gru_d23_to_d4,PEBBLES_L,PEBBLES,long,500,-0.03925090455400316,-59.82850646972656,0.44097995545657015,449,-100.7771987915039,-26.38317211805314
gru_d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,1000,-0.09981516850022878,-106.44320678710938,0.3518930957683742,449,-3.9361987113952637,-37.45662955982914
gru_d23_to_d4,OXYGEN_SHAKE_GARLIC,OXYGEN,short,500,0.01671295596274051,-98.61470031738281,0.38084632516703787,449,-120.4920425415039,-37.557046223323965
gru_d23_to_d4,PEBBLES_S,PEBBLES,long,1000,0.14380543381730743,-271.5634765625,0.1492204899777283,449,-109.57410430908203,-40.52283503271158
gru_d23_to_d4,ROBOT_MOPPING,ROBOT,long,1000,-0.13894387030418034,-276.89532470703125,0.2806236080178174,449,-71.00879669189453,-77.70336506255221
