product,group,kind,window,threshold,horizon,total_pnl,min_day_pnl,day2,day3,day4,trades,positive_days,avg_win_pct
SLEEP_POD_POLYESTER,SLEEP_POD,product_rolling,1000,3.0,200,3231.0,-2510.0,2522.0,-2510.0,3219.0,18,2,0.41269841269841273
SLEEP_POD_SUEDE,SLEEP_POD,group_regression_open500,500,3.0,500,10323.0,-2792.0,5320.0,7795.0,-2792.0,30,2,0.42803030303030304
PANEL_4X4,PANEL,product_rolling,500,2.5,200,-3228.0,-2799.0,-2799.0,-618.0,189.0,54,1,0.42175925925925933
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,2.0,200,26161.0,-2836.0,11265.0,-2836.0,17732.0,67,2,0.5338783599653164
UV_VISOR_AMBER,UV_VISOR,group_equal,1000,1.5,500,-2917.0,-3045.0,-3045.0,740.0,-612.0,59,1,0.6595782385256069
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,product_rolling,1000,3.0,200,-2540.0,-3060.0,-3060.0,2310.0,-1790.0,13,1,0.47222222222222215
UV_VISOR_AMBER,UV_VISOR,group_vol,1000,1.5,500,-2767.0,-3065.0,-3065.0,1340.0,-1042.0,59,1,0.6571858940279993
PEBBLES_L,PEBBLES,group_vol,1000,3.0,500,-6470.0,-3100.0,-2820.0,-3100.0,-550.0,14,0,0.6
ROBOT_DISHES,ROBOT,group_equal,1000,2.0,500,-7772.0,-3164.0,-3164.0,-1499.0,-3109.0,35,0,0.4292929292929293
ROBOT_DISHES,ROBOT,group_vol,1000,2.0,500,-3480.0,-3221.0,-3221.0,712.0,-971.0,36,1,0.41647241647241645
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_regression_open500,500,3.0,500,5244.0,-3225.0,5394.0,-3225.0,3075.0,23,2,0.5767195767195766
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,group_regression_open500,1000,3.0,500,8040.0,-3290.0,5590.0,-3290.0,5740.0,18,2,0.5416666666666666
ROBOT_DISHES,ROBOT,product_rolling,1000,3.0,500,1604.0,-3394.0,2438.0,-3394.0,2560.0,17,2,0.4777777777777778
UV_VISOR_AMBER,UV_VISOR,product_rolling,1000,2.5,500,-4170.0,-3522.0,-3522.0,570.0,-1218.0,27,1,0.5222222222222221
ROBOT_DISHES,ROBOT,group_vol,1000,1.5,500,-4173.0,-3534.0,1232.0,-1871.0,-3534.0,56,1,0.373526936026936
ROBOT_DISHES,ROBOT,group_equal,1000,1.5,500,-5935.0,-3640.0,505.0,-2800.0,-3640.0,56,1,0.39277933395580455
ROBOT_DISHES,ROBOT,product_rolling,1000,2.5,500,-792.0,-3912.0,1038.0,-3912.0,2082.0,26,2,0.38425925925925924
ROBOT_IRONING,ROBOT,product_rolling,1000,2.5,200,-8474.0,-4090.0,-1754.0,-4090.0,-2630.0,29,0,0.6265151515151516
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,1.0,200,12339.0,-4267.0,-2837.0,-4267.0,19443.0,146,1,0.5441103977823013
PEBBLES_L,PEBBLES,group_vol,1000,2.5,500,-828.0,-4470.0,-2878.0,-4470.0,6520.0,30,1,0.5146520146520147
PANEL_4X4,PANEL,product_rolling,1000,2.5,200,2749.0,-4886.0,8298.0,-4886.0,-663.0,36,1,0.42470492470492466
PEBBLES_L,PEBBLES,product_rolling,1000,2.5,500,5894.0,-4902.0,-4902.0,196.0,10600.0,31,2,0.5238095238095238
UV_VISOR_YELLOW,UV_VISOR,group_regression_open500,500,3.0,200,-6128.0,-4978.0,1040.0,-4978.0,-2190.0,31,1,0.3814814814814815
ROBOT_LAUNDRY,ROBOT,group_regression_open500,200,1.5,500,-3322.0,-5106.0,6610.0,-5106.0,-4826.0,222,1,0.507668793195109
PANEL_4X4,PANEL,product_rolling,500,2.5,500,-5719.0,-5677.0,816.0,-858.0,-5677.0,50,1,0.4166666666666667
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,product_rolling,1000,2.5,200,-5840.0,-6040.0,-6040.0,3460.0,-3260.0,31,1,0.5290404040404041
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,500,2.5,500,1553.0,-6474.0,-2818.0,-6474.0,10845.0,53,1,0.5166666666666667
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,1000,1.0,500,37548.0,-6604.0,22418.0,-6604.0,21734.0,101,2,0.5417543859649122
ROBOT_DISHES,ROBOT,product_rolling,1000,2.0,500,-8802.0,-6850.0,-6850.0,-5642.0,3690.0,36,1,0.46269841269841266
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_vol,500,3.0,500,2961.0,-6889.0,-6889.0,2250.0,7600.0,32,2,0.4504273504273504
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,1.0,500,12719.0,-7655.0,-374.0,-7655.0,20748.0,91,1,0.5641353383458646
ROBOT_DISHES,ROBOT,group_vol,1000,1.0,500,-3622.0,-7659.0,-2964.0,-7659.0,7001.0,89,1,0.4044290834613415
PANEL_2X4,PANEL,group_equal,1000,2.5,500,-4259.0,-7720.0,42.0,3419.0,-7720.0,23,2,0.31666666666666665
ROBOT_DISHES,ROBOT,group_equal,1000,1.0,500,-7720.0,-7763.0,-3364.0,-7763.0,3407.0,85,1,0.4116645381013197
PANEL_2X4,PANEL,group_vol,1000,2.5,500,2433.0,-8014.0,2950.0,7497.0,-8014.0,26,2,0.3111111111111111
MICROCHIP_RECTANGLE,MICROCHIP,product_rolling,500,1.5,500,12034.0,-8103.0,16741.0,3396.0,-8103.0,122,2,0.49057361271517347
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,1.5,200,18911.0,-8271.0,7083.0,-8271.0,20099.0,100,2,0.562844492635764
MICROCHIP_RECTANGLE,MICROCHIP,group_equal,500,3.0,500,6319.0,-9015.0,9499.0,5835.0,-9015.0,30,2,0.4262626262626263
MICROCHIP_TRIANGLE,MICROCHIP,group_equal,1000,1.5,500,24265.0,-9679.0,14586.0,-9679.0,19358.0,68,2,0.5292022792022792
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,product_rolling,100,3.0,500,-23945.0,-10229.0,-10229.0,-9428.0,-4288.0,126,0,0.4273001343939559
MICROCHIP_TRIANGLE,MICROCHIP,group_regression_open500,500,2.5,500,-800.0,-10522.0,1742.0,-10522.0,7980.0,46,2,0.5027777777777778
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_equal,500,3.0,500,-3181.0,-10738.0,-10738.0,-1275.0,8832.0,34,1,0.45555555555555555
PEBBLES_XL,PEBBLES,product_rolling,200,2.0,500,98451.0,-11315.0,-11315.0,52426.0,57340.0,186,2,0.4676673053722234
MICROCHIP_TRIANGLE,MICROCHIP,group_regression_open500,500,2.0,500,-5908.0,-11373.0,-6178.0,-11373.0,11643.0,68,1,0.46199134199134195
PEBBLES_XL,PEBBLES,product_rolling,200,1.5,500,117778.0,-12425.0,-12425.0,62070.0,68133.0,259,2,0.4621122965009679
PEBBLES_XL,PEBBLES,group_equal,200,1.5,500,116075.0,-12425.0,-12425.0,62070.0,66430.0,258,2,0.46353143841515937
MICROCHIP_TRIANGLE,MICROCHIP,group_equal,1000,1.0,500,23931.0,-12443.0,17084.0,-12443.0,19290.0,98,2,0.55496632996633
PEBBLES_XL,PEBBLES,group_vol,200,1.5,500,114015.0,-12525.0,-12525.0,60070.0,66470.0,257,2,0.4615250544662309
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,1000,1.5,500,24184.0,-12916.0,18262.0,-12916.0,18838.0,67,2,0.5294117647058824
MICROCHIP_TRIANGLE,MICROCHIP,group_regression_open500,1000,3.0,500,-2222.0,-13240.0,5956.0,-13240.0,5062.0,16,2,0.5555555555555555
PEBBLES_S,PEBBLES,group_vol,500,2.0,500,15608.0,-13750.0,-13750.0,22874.0,6484.0,80,2,0.47378193701723115
PEBBLES_L,PEBBLES,product_rolling,500,2.0,500,-243.0,-14100.0,-14100.0,3146.0,10711.0,79,2,0.5084848484848484
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,500,2.0,500,-19052.0,-17038.0,-15492.0,-17038.0,13478.0,76,1,0.5395635515575545
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,500,1.5,500,-4567.0,-17891.0,560.0,-17891.0,12764.0,100,2,0.48390804597701154
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,500,1.0,500,-6679.0,-18784.0,-2709.0,-18784.0,14814.0,145,1,0.5340643274853801
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,500,1.5,500,-25257.0,-22252.0,-13041.0,-22252.0,10036.0,95,1,0.5183908045977011
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,200,2.5,500,-31062.0,-22378.0,-10606.0,-22378.0,1922.0,108,1,0.5256564614149752
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,500,1.0,500,-30227.0,-23549.0,-14493.0,-23549.0,7815.0,134,1,0.48449135751861716
MICROCHIP_TRIANGLE,MICROCHIP,group_equal,500,1.0,500,-16363.0,-24600.0,-3176.0,-24600.0,11413.0,139,1,0.5438392238392239
MICROCHIP_SQUARE,MICROCHIP,product_rolling,100,2.5,500,-31564.0,-30878.0,-6605.0,-30878.0,5919.0,222,1,0.47228931830381105
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,200,1.0,500,-47781.0,-31870.0,-11166.0,-31870.0,-4745.0,274,0,0.4933609987641838
