group,target,threshold,horizon,exit_rule,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
MICROCHIP,MICROCHIP_SQUARE,2.5,500,fixed_horizon,3,23820.0,-9880.0,2,37,0.5135135135135135,643.7837837837837,491.43243243243245,500
MICROCHIP,MICROCHIP_SQUARE,2.5,500,zero_cross,3,23820.0,-9880.0,2,37,0.5135135135135135,643.7837837837837,491.43243243243245,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,500,fixed_horizon,3,21120.0,0.0,2,9,0.7777777777777778,2346.6666666666665,450.0,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,500,zero_cross,3,21120.0,0.0,2,9,0.7777777777777778,2346.6666666666665,450.0,500
PANEL,PANEL_2X2,2.0,500,fixed_horizon,3,20740.0,-1860.0,2,50,0.56,414.8,491.78,500
PANEL,PANEL_2X2,2.0,500,zero_cross,3,20740.0,-1860.0,2,50,0.56,414.8,490.46,500
PANEL,PANEL_2X4,2.0,500,fixed_horizon,3,19790.0,-880.0,2,44,0.6136363636363636,449.77272727272725,499.27272727272725,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,200,fixed_horizon,3,19690.0,0.0,2,19,0.6842105263157895,1036.3157894736842,190.0,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,200,zero_cross,3,19690.0,0.0,2,19,0.6842105263157895,1036.3157894736842,190.0,200
PANEL,PANEL_2X4,2.5,500,fixed_horizon,3,19220.0,-4710.0,2,39,0.6153846153846154,492.8205128205128,493.71794871794873,500
PANEL,PANEL_2X4,2.0,500,zero_cross,3,19130.0,-1190.0,2,44,0.6136363636363636,434.77272727272725,491.1818181818182,500
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,500,fixed_horizon,3,18890.0,-8130.0,2,39,0.5897435897435898,484.35897435897436,499.4871794871795,500
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,500,zero_cross,3,18890.0,-8130.0,2,39,0.5897435897435898,484.35897435897436,499.4871794871795,500
PANEL,PANEL_2X4,2.5,500,zero_cross,3,18420.0,-4710.0,2,39,0.6153846153846154,472.3076923076923,490.6666666666667,500
MICROCHIP,MICROCHIP_TRIANGLE,2.5,500,zero_cross,3,18320.0,-10540.0,2,39,0.46153846153846156,469.7435897435897,485.2307692307692,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,100,fixed_horizon,3,18130.0,-1080.0,2,125,0.568,145.04,100.0,100
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,100,zero_cross,3,18130.0,-1080.0,2,125,0.568,145.04,100.0,100
ROBOT,ROBOT_IRONING,1.5,100,zero_cross,3,17870.0,-3610.0,2,211,0.5355450236966824,84.69194312796209,99.98104265402844,100
ROBOT,ROBOT_IRONING,1.5,100,fixed_horizon,3,17770.0,-3610.0,2,211,0.5355450236966824,84.21800947867298,100.0,100
MICROCHIP,MICROCHIP_TRIANGLE,2.5,500,fixed_horizon,3,17770.0,-10540.0,2,39,0.46153846153846156,455.64102564102564,495.35897435897436,500
PANEL,PANEL_2X2,2.0,200,fixed_horizon,3,17510.0,-3070.0,2,115,0.5652173913043478,152.2608695652174,198.9913043478261,200
PANEL,PANEL_2X2,2.0,200,zero_cross,3,17510.0,-3070.0,2,115,0.5652173913043478,152.2608695652174,198.9913043478261,200
PANEL,PANEL_2X4,2.0,200,fixed_horizon,3,17390.0,-3330.0,2,102,0.5588235294117647,170.49019607843138,198.48039215686273,200
PANEL,PANEL_2X2,2.5,500,fixed_horizon,3,17260.0,-510.0,2,44,0.5,392.27272727272725,493.09090909090907,500
PANEL,PANEL_2X2,2.5,500,zero_cross,3,17210.0,-560.0,2,44,0.5,391.1363636363636,492.72727272727275,500
SLEEP_POD,SLEEP_POD_SUEDE,3.0,500,fixed_horizon,3,16870.0,0.0,2,24,0.5,702.9166666666666,480.0,500
SLEEP_POD,SLEEP_POD_SUEDE,3.0,500,zero_cross,3,16870.0,0.0,2,24,0.5,702.9166666666666,480.0,500
PANEL,PANEL_2X4,2.0,200,zero_cross,3,16580.0,-3330.0,2,102,0.5588235294117647,162.54901960784315,197.84313725490196,200
ROBOT,ROBOT_VACUUMING,2.0,500,zero_cross,3,16560.0,-1360.0,2,39,0.5641025641025641,424.61538461538464,473.5128205128205,500
ROBOT,ROBOT_VACUUMING,2.0,500,fixed_horizon,3,16500.0,-2490.0,2,39,0.5641025641025641,423.0769230769231,487.53846153846155,500
MICROCHIP,MICROCHIP_SQUARE,3.0,200,fixed_horizon,3,15910.0,-9760.0,2,65,0.5846153846153846,244.76923076923077,199.58461538461538,200
MICROCHIP,MICROCHIP_SQUARE,3.0,200,zero_cross,3,15910.0,-9760.0,2,65,0.5846153846153846,244.76923076923077,199.58461538461538,200
PANEL,PANEL_2X2,1.5,500,zero_cross,3,15150.0,-2590.0,2,54,0.46296296296296297,280.55555555555554,485.6296296296296,500
ROBOT,ROBOT_IRONING,2.0,100,fixed_horizon,3,14850.0,-2540.0,2,177,0.5536723163841808,83.89830508474576,99.88700564971751,100
ROBOT,ROBOT_IRONING,2.0,100,zero_cross,3,14850.0,-2540.0,2,177,0.5536723163841808,83.89830508474576,99.88700564971751,100
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,200,fixed_horizon,3,14690.0,-11730.0,2,87,0.5287356321839081,168.8505747126437,199.42528735632183,200
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,200,zero_cross,3,14690.0,-11730.0,2,87,0.5287356321839081,168.8505747126437,199.42528735632183,200
PANEL,PANEL_2X2,1.5,500,fixed_horizon,3,14630.0,-2590.0,2,54,0.46296296296296297,270.9259259259259,489.8888888888889,500
ROBOT,ROBOT_VACUUMING,2.0,200,fixed_horizon,3,14170.0,-3830.0,2,76,0.5526315789473685,186.44736842105263,198.3421052631579,200
ROBOT,ROBOT_VACUUMING,2.0,200,zero_cross,3,14170.0,-3830.0,2,76,0.5526315789473685,186.44736842105263,198.3421052631579,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,100,fixed_horizon,3,14040.0,0.0,2,33,0.7575757575757576,425.45454545454544,97.05882352941177,100
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3.0,100,zero_cross,3,14040.0,0.0,2,33,0.7575757575757576,425.45454545454544,97.05882352941177,100
PANEL,PANEL_1X2,2.0,500,fixed_horizon,3,13580.0,-3250.0,2,54,0.6111111111111112,251.4814814814815,497.1666666666667,500
PANEL,PANEL_1X2,2.0,500,zero_cross,3,13580.0,-3250.0,2,54,0.6111111111111112,251.4814814814815,497.1666666666667,500
UV_VISOR,UV_VISOR_AMBER,3.0,500,zero_cross,3,13320.0,-5250.0,2,38,0.6578947368421053,350.5263157894737,487.1842105263158,500
UV_VISOR,UV_VISOR_AMBER,3.0,500,fixed_horizon,3,13260.0,-5250.0,2,38,0.6578947368421053,348.94736842105266,488.0,500
MICROCHIP,MICROCHIP_TRIANGLE,1.5,500,fixed_horizon,3,13210.0,-12620.0,2,45,0.4888888888888889,293.55555555555554,482.8222222222222,500
PEBBLES,PEBBLES_XS,1.5,100,fixed_horizon,3,12960.0,-15870.0,2,220,0.509090909090909,58.90909090909091,99.5909090909091,100
PEBBLES,PEBBLES_XS,2.0,100,fixed_horizon,3,12960.0,-15870.0,2,220,0.509090909090909,58.90909090909091,99.5909090909091,100
PEBBLES,PEBBLES_XS,2.5,100,fixed_horizon,3,12960.0,-15870.0,2,220,0.509090909090909,58.90909090909091,99.5909090909091,100
PEBBLES,PEBBLES_XS,3.0,100,fixed_horizon,3,12960.0,-15870.0,2,220,0.509090909090909,58.90909090909091,99.5909090909091,100
ROBOT,ROBOT_LAUNDRY,1.5,500,fixed_horizon,3,12910.0,-3770.0,2,48,0.5416666666666666,268.9583333333333,487.125,500
MICROCHIP,MICROCHIP_TRIANGLE,3.0,500,fixed_horizon,3,12840.0,-7060.0,2,33,0.5151515151515151,389.09090909090907,493.1515151515151,500
MICROCHIP,MICROCHIP_TRIANGLE,3.0,500,zero_cross,3,12840.0,-7060.0,2,33,0.5151515151515151,389.09090909090907,493.1515151515151,500
PANEL,PANEL_2X2,2.5,200,fixed_horizon,3,12790.0,-3500.0,2,99,0.5454545454545454,129.1919191919192,198.7171717171717,200
PANEL,PANEL_2X2,2.5,200,zero_cross,3,12790.0,-3500.0,2,99,0.5454545454545454,129.1919191919192,198.7171717171717,200
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,500,zero_cross,3,12790.0,-8130.0,2,50,0.52,255.8,497.86,500
PANEL,PANEL_2X2,3.0,200,fixed_horizon,3,12680.0,-260.0,2,87,0.5517241379310345,145.7471264367816,198.2528735632184,200
PANEL,PANEL_2X2,3.0,200,zero_cross,3,12680.0,-260.0,2,87,0.5517241379310345,145.7471264367816,198.2528735632184,200
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,500,fixed_horizon,3,12510.0,-8130.0,2,50,0.52,250.2,499.6,500
ROBOT,ROBOT_LAUNDRY,1.5,500,zero_cross,3,12190.0,-3770.0,2,48,0.5416666666666666,253.95833333333334,475.4166666666667,500
PANEL,PANEL_2X2,3.0,500,fixed_horizon,3,12190.0,-4450.0,2,37,0.5945945945945946,329.4594594594595,490.6216216216216,500
PANEL,PANEL_2X2,3.0,500,zero_cross,3,12190.0,-4450.0,2,37,0.5945945945945946,329.4594594594595,490.6216216216216,500
