product,group,path_type,threshold,exit_band,train_days,test_day,pnl,trades,end_pos
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,120,30.0,3+4,2,10009.0,54,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,120,30.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,120,30.0,2+3,4,1067.0,228,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,160,40.0,3+4,2,9237.0,32,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,160,40.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,160,40.0,2+3,4,116.0,164,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,200,50.0,3+4,2,9786.0,38,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,200,50.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,200,50.0,2+3,4,-2100.0,110,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,300,75.0,3+4,2,9206.0,20,0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,300,75.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,300,75.0,2+3,4,-1030.0,90,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,3+4,2,-1485.0,578,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,2+4,3,1788.0,330,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,2+3,4,-5114.0,534,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,3+4,2,1176.0,356,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,2+4,3,4221.0,274,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,2+3,4,-3662.0,336,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,3+4,2,5147.8,234,-10
