source_product,feature,mean_importance,min_importance
SNACKPACK_CHOCOLATE,mid_centered,0.0045366197060959955,0.003110764968021583
MICROCHIP_RECTANGLE,group_residual_z,0.004533592374738454,0.003025929463347429
UV_VISOR_AMBER,mid_centered,0.004494385793045271,0.003647433652965187
ROBOT_LAUNDRY,group_mid_rank,0.004445197867468813,0.0030329299460829947
PEBBLES_M,group_residual_z,0.004433973797248487,0.0012385006880748348
SNACKPACK_RASPBERRY,group_residual_z,0.004370611214242867,0.002591555300538988
SNACKPACK_RASPBERRY,group_mid_rank,0.004241851135760244,0.0027220910394634293
SNACKPACK_PISTACHIO,mid_centered,0.004198368722454889,0.0016640948470682422
ROBOT_MOPPING,group_mid_rank,0.004158174004757305,0.0014642862882627236
ROBOT_IRONING,group_residual_z,0.004130387250246015,0.002873606287675483
TRANSLATOR_GRAPHITE_MIST,group_residual_z,0.004125601310000813,0.0029063318834602727
PANEL_1X2,group_mid_rank,0.0041171966716229925,0.0002306484841339116
MICROCHIP_RECTANGLE,group_mid_rank,0.0040614292017573375,0.0020029046356726046
OXYGEN_SHAKE_CHOCOLATE,mid_centered,0.004053282448783475,0.003269658225027869
SNACKPACK_RASPBERRY,mid_centered,0.0040301870715232,0.00256359087413162
OXYGEN_SHAKE_MINT,group_mid_rank,0.003918167942746304,0.0007581202340014133
MICROCHIP_CIRCLE,mid_centered,0.0038972807958679192,0.0023129790160351864
TRANSLATOR_ASTRO_BLACK,group_mid_rank,0.0038192415798619706,0.0015560069607051977
GALAXY_SOUNDS_DARK_MATTER,mid_centered,0.0034630285414752123,0.0018458564710880042
SLEEP_POD_LAMB_WOOL,group_mid_rank,0.003374833739331933,0.0
OXYGEN_SHAKE_GARLIC,group_mid_rank,0.003358069726323458,0.0
PEBBLES_M,group_mid_rank,0.0032863151533918888,0.0023703121944672603
MICROCHIP_CIRCLE,group_mid_rank,0.0032508442415545113,0.0007222193908380547
OXYGEN_SHAKE_MINT,mid_centered,0.00320596293026222,0.00213598364084486
PANEL_1X4,group_mid_rank,0.0030883532506832613,0.0025311419527896824
SNACKPACK_STRAWBERRY,mid_centered,0.0030009893565790245,0.0026327616628660524
SNACKPACK_STRAWBERRY,group_mid_rank,0.0029363753547556447,0.0
PEBBLES_XL,group_mid_rank,0.0029011713416929835,0.0
TRANSLATOR_GRAPHITE_MIST,mid_centered,0.002834602223015485,0.0011122120817328599
GALAXY_SOUNDS_DARK_MATTER,group_mid_rank,0.0028259787795955533,0.0011804598444106883
MICROCHIP_OVAL,group_residual_z,0.0027987385287796037,0.0017551761591428163
PEBBLES_S,group_mid_rank,0.0027868371152633665,0.001362545005906906
SLEEP_POD_SUEDE,group_mid_rank,0.00271235367974988,0.0016054624835553524
OXYGEN_SHAKE_MINT,group_residual_z,0.002578823803174546,0.001987310217290852
ROBOT_DISHES,group_mid_rank,0.0025702030118872625,0.0008585290642372753
SNACKPACK_PISTACHIO,group_mid_rank,0.0019672122183519137,0.0
UV_VISOR_MAGENTA,group_mid_rank,0.001890967073049252,0.0007200890316438362
UV_VISOR_ORANGE,group_mid_rank,0.0018423894530708157,0.0003740259940366193
UV_VISOR_YELLOW,group_mid_rank,0.0017453083383988015,0.000798515918903976
ROBOT_IRONING,spread,0.0014863814017858597,0.00011446059096960765
PEBBLES_XL,spread,0.0014327432315706303,0.0
TRANSLATOR_VOID_BLUE,group_mid_rank,0.0011813243424152802,0.0
OXYGEN_SHAKE_EVENING_BREATH,group_mid_rank,0.001141202044224273,0.0008041953991390242
MICROCHIP_SQUARE,group_mid_rank,0.0010795623757970476,0.0
MICROCHIP_TRIANGLE,group_mid_rank,0.0010101012031868415,0.0
PEBBLES_XS,group_mid_rank,0.0007706406087169437,0.0
SLEEP_POD_NYLON,group_mid_rank,0.00048637605846895164,0.0
UV_VISOR_AMBER,spread,0.0004131928560714719,0.0
PEBBLES_XL,ret50,0.000348735332079917,0.00018581942817526555
SLEEP_POD_NYLON,ret50,0.0003464424514321609,0.00022692709954162758
MICROCHIP_CIRCLE,ret50,0.0003253178555162335,0.00022325917720306793
PANEL_1X4,ret50,0.00031681163023226407,0.00017077927177106615
TRANSLATOR_SPACE_GRAY,ret50,0.00030916670101089716,0.00022642286444048642
MICROCHIP_SQUARE,ret50,0.00030460684244510496,0.00024744467872822606
SLEEP_POD_LAMB_WOOL,ret50,0.00029508441550819424,0.0001971194804122529
PANEL_2X2,ret50,0.0002950750130589636,0.0001720342906007276
SNACKPACK_VANILLA,ret50,0.0002786715268715938,0.00017444424987948912
ROBOT_LAUNDRY,ret50,0.0002672706104715943,9.055118051841782e-05
SNACKPACK_CHOCOLATE,ret50,0.00025974279691413335,0.00014236453314279835
OXYGEN_SHAKE_GARLIC,ret50,0.00025974249025796566,0.0002233084894664566
MICROCHIP_RECTANGLE,ret50,0.0002594153924984901,0.00012051525050464853
PEBBLES_L,ret50,0.0002560700245330188,0.00020275212037986067
ROBOT_IRONING,ret50,0.0002558895805212164,0.00021263488603020907
MICROCHIP_OVAL,ret50,0.0002551006453510849,0.0002201606399374927
PANEL_4X4,ret50,0.0002535796107020288,0.00017508694755302926
UV_VISOR_AMBER,ret50,0.0002527620120415859,0.00013415606887633597
SNACKPACK_PISTACHIO,ret50,0.00024033038459474044,0.0001487697009141214
GALAXY_SOUNDS_SOLAR_FLAMES,ret50,0.00023769787741477076,0.00023388376133037095
OXYGEN_SHAKE_EVENING_BREATH,ret50,0.00023140938640555978,0.00018693524995092964
UV_VISOR_RED,ret50,0.000228904592432756,0.00020491154698678917
SLEEP_POD_COTTON,ret50,0.00022649971351304822,0.00013433282955944563
ROBOT_DISHES,ret50,0.00022568315194136776,0.0001881036454259425
